Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Plant diversity in tropical forests: a review of mechanisms of species coexistence,"Wright, SJ",,,,OECOLOGIA,JAN 2002,2002,130,1,,,,1,14,,10.1007/s004420100809,,,946,45.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,29,27,34,38,46,26,35,58,46,48,66,58,66,61,56,65,50,78,36
Ant biodiversity and its relationship to ecosystem functioning: a review,"Folgarait, PJ",,,,BIODIVERSITY AND CONSERVATION,SEP 1998,1998,7,9,,,,1221,1244,,10.1023/A:1008891901953,,,644,25.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,9,6,11,18,15,21,24,33,36,37,34,40,37,33,35,47,46,52,52,36
"Deforestation in Brazilian Amazonia: History, rates, and consequences","Fearnside, PM",,,,CONSERVATION BIOLOGY,JUN 2005,2005,19,3,,,,680,688,,10.1111/j.1523-1739.2005.00697.x,,,604,33.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,20,25,33,31,31,39,43,37,43,42,36,49,52,46,32,30
GAP-PHASE REGENERATION IN A TROPICAL FOREST,"BROKAW, NVL",,,,ECOLOGY,1985,1985,66,3,,,,682,687,,10.2307/1940529,,,535,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,16,11,14,12,13,12,5,11,19,10,25,11,13,15,11,19,10,18,8,16,19,16,22,20,15,13,20,15,14,17,18,18,19,12,13
Neutral theory in community ecology and the hypothesis of functional equivalence,"Hubbell, SP",,,,FUNCTIONAL ECOLOGY,FEB 2005,2005,19,1,,,,166,172,,10.1111/j.0269-8463.2005.00965.x,,,521,28.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,19,22,23,23,31,30,30,31,32,33,38,29,34,47,50,34
Tropical forests in a changing environment,"Wright, SJ",,,,TRENDS IN ECOLOGY & EVOLUTION,OCT 2005,2005,20,10,,,,553,560,,10.1016/j.tree.2005.07.009,,,510,28.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,29,44,35,32,34,28,38,36,31,36,38,26,25,25,16
The efficiency of payments for environmental services in tropical conservation,"Wunder, Sven",,,,CONSERVATION BIOLOGY,FEB 2007,2007,21,1,,,,48,58,,10.1111/j.1523-1739.2006.00559.x,,,491,30.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,36,35,39,41,36,40,38,26,39,48,35,22,14
Growth responses of 15 rain-forest tree species to a light gradient: the relative importance of morphological and physiological traits,"Poorter, L",,,,FUNCTIONAL ECOLOGY,JUN 1999,1999,13,3,,,,396,410,,10.1046/j.1365-2435.1999.00332.x,,,475,19.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,11,16,12,13,21,18,21,21,19,27,29,27,45,21,35,18,37,17,12,18,17
"ECOLOGY, FLOWERING PHENOLOGY, AND HUMMINGBIRD POLLINATION OF SOME COSTA RICAN HELICONIA SPECIES","STILES, FG",,,,ECOLOGY,1975,1975,56,2,,,,285,301,,10.2307/1934961,,,421,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,11,12,16,14,13,6,12,11,7,11,6,7,7,4,5,6,6,8,6,2,3,13,8,5,7,9,6,3,4,12,10,11,9,13,11,8,13,9,9,10,11,9,11,13,13
Neutral theory and the evolution of ecological equivalence,"Hubbell, Stephen P.",,,,ECOLOGY,JUN 2006,2006,87,6,,,,1387,1398,,10.1890/0012-9658(2006)87[1387:NTATEO]2.0.CO;2,,,369,21.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,15,20,25,19,22,22,16,21,39,17,25,27,32,32,22
